"labels_column","values_column"
"posterior_median",-0.679043868126231
"bayes_factor",245235346.274998
"cred_interval_99_min",-0.792902840758673
"cred_interval_99_max",-0.522010059746542
"cred_interval_95_min",-0.774044172362158
"cred_interval_95_max",-0.569211688920161
