fid,NDVI
"356",0.48569444
"357",0.5571112
"358",0.54213971
"359",0.44766697
"360",0.42941219
"361",0.48573223
"362",0.39912108
"363",0.3439683
"364",0.35004756
"365",0.37696829
"366",0.38658607
"367",0.40346208
"368",0.45568499
"369",0.51236147
"370",0.51888597
"371",0.47286731
"372",0.47122443
"373",0.54526424
"374",0.61035424
"375",0.63489127
"376",0.63971484
"377",0.6432054
"378",0.64692086
"379",0.64323968
"380",0.63562095
"381",0.61873883
"382",0.43620813
"383",0.40900746
"384",0.42730942
"385",0.43549728
"386",0.4157775
"387",0.40932763
"388",0.44454187
"389",0.48631623
"390",0.44407859
"391",0.33436608
"392",0.29488462
"393",0.38529068
"394",0.50349581
"395",0.51217973
"396",0.45334437
"397",0.43357572
"398",0.43059519
"399",0.4258039
"400",0.467179
"401",0.53886825
"402",0.58275306
"403",0.53246975
"404",0.41559604
"405",0.40819424
"406",0.49182659
"407",0.41453713
"408",0.34323743
"409",0.30088475
"410",0.30120718
"411",0.32551429
"412",0.35412484
"413",0.3887215
"414",0.44202513
"415",0.46369022
"416",0.41481838
"417",0.34924367
"418",0.34754801
"419",0.39669123
"420",0.45687094
"421",0.52509141
"422",0.57758754
"423",0.61261183
"424",0.63263685
"425",0.63105458
"426",0.61665523
"427",0.59874648
"428",0.46298519
"429",0.42056891
"430",0.42282039
"431",0.44415912
"432",0.44652066
"433",0.45307493
"434",0.48481587
"435",0.47393361
"436",0.38043985
"437",0.31847346
"438",0.37683141
"439",0.48797041
"440",0.55770624
"441",0.55129242
"442",0.49029458
"443",0.44828814
"444",0.44466957
"445",0.46553642
"446",0.51762682
"447",0.5662964
"448",0.58889127
"449",0.5252679
"450",0.40700567
"451",0.41537815
"452",0.50283486
"453",0.42099592
"454",0.35403708
"455",0.31063575
"456",0.29017904
"457",0.28590009
"458",0.29501632
"459",0.30940095
"460",0.33853182
"461",0.36143947
"462",0.32007769
"463",0.26940855
"464",0.23304012
"465",0.19298208
