fid,NDVI
"1",0.57260942
"2",0.57165784
"3",0.58956933
"4",0.59488213
"5",0.56905419
"6",0.55964506
"7",0.57512951
"8",0.57654995
"9",0.57684308
"10",0.57062346
"11",0.57024938
"12",0.56666917
"13",0.5670253
"14",0.5750578
"15",0.57344204
"16",0.56288785
"17",0.57953876
"18",0.58525795
"19",0.57387
"20",0.57090658
"21",0.5898211
"22",0.59135121
"23",0.5706079
"24",0.55189693
"25",0.58294147
"26",0.61377943
"27",0.61951679
"28",0.6145516
"29",0.61088544
"30",0.57186019
"31",0.59006208
"32",0.57883298
"33",0.54538268
"34",0.5335542
"35",0.5692358
"36",0.60622698
"37",0.60878664
"38",0.5938527
"39",0.58488363
"40",0.59701586
"41",0.55420476
"42",0.56708658
"43",0.58701944
"44",0.57288706
"45",0.54609019
"46",0.55573094
"47",0.58362687
"48",0.59974575
"49",0.59731752
"50",0.57924885
"51",0.56506342
"52",0.55578578
"53",0.57394975
"54",0.5852263
"55",0.57882178
"56",0.58847457
"57",0.60596329
"58",0.60430926
"59",0.60255218
"60",0.59509611
"61",0.56996691
"62",0.56114262
"63",0.57595181
"64",0.57635945
"65",0.58129668
"66",0.61231309
"67",0.63147467
"68",0.62186056
"69",0.57172799
"70",0.55255741
"71",0.56440371
"72",0.56274712
"73",0.58159149
"74",0.62083536
"75",0.64172637
"76",0.57168931
"77",0.57960516
"78",0.57737255
"79",0.57720894
"80",0.5648526
"81",0.55698425
"82",0.56130284
"83",0.55887079
"84",0.5904566
"85",0.62736285
"86",0.63511199
"87",0.5727331
"88",0.57720333
"89",0.56731951
"90",0.56169766
"91",0.5579651
"92",0.55219042
"93",0.55601114
"94",0.55595893
"95",0.55872303
"96",0.55362147
"97",0.56683278
"98",0.60962194
"99",0.63410646
"100",0.63173854
"101",0.58343202
"102",0.56926805
"103",0.54652238
"104",0.54828429
"105",0.54756892
"106",0.5399937
"107",0.55145842
"108",0.55459106
"109",0.58437681
"110",0.56487626
"111",0.56706041
"112",0.55628467
"113",0.57723409
"114",0.618653
"115",0.62870926
"116",0.58408618
"117",0.56765628
"118",0.54764241
"119",0.54875576
"120",0.54148674
"121",0.5397321
"122",0.56087762
"123",0.57748705
"124",0.5793432
"125",0.57102525
"126",0.5920583
"127",0.58174878
"128",0.55727983
"129",0.57384396
"130",0.60723543
"131",0.59746814
"132",0.57379895
"133",0.57534456
"134",0.56405962
"135",0.58124447
"136",0.61317265
"137",0.61926252
"138",0.58517861
"139",0.57449919
"140",0.55974555
"141",0.55433279
"142",0.54398561
"143",0.55569953
"144",0.58912128
"145",0.60397059
"146",0.59485734
"147",0.5698123
"148",0.60360378
"149",0.60791188
"150",0.59871602
"151",0.58889157
"152",0.59838593
"153",0.60424399
"154",0.57409185
"155",0.57587963
"156",0.56932068
"157",0.58172232
"158",0.61220831
"159",0.62097311
"160",0.58303607
"161",0.57383859
"162",0.56063163
"163",0.56092966
"164",0.56012565
"165",0.58084846
"166",0.61213213
"167",0.60263991
"168",0.5759272
"169",0.54483938
"170",0.60659063
"171",0.61916625
"172",0.62260652
"173",0.61007422
"174",0.60189277
"175",0.57220024
"176",0.5738259
"177",0.56760103
"178",0.58466017
"179",0.61979717
